run_uid,status,created_at,start_time,end_time,duration_sec,exit_code,exp_name,experiment_comment,stages,config_list,train_config_path,infer_config_path,measure_config_path,base_config,runtime_config,exp_tag,exp_dir,model_tag,learning_rate,peft_type,peft_detail,optimizer_detail,scheduler_detail,trainer_detail,model_init_detail,trainer_max_epochs,trainer_max_steps,trainer_accumulate_grad_batches,trainer_gradient_clip_val,trainer_precision,trainer_fast_dev_run,seed,num_device,num_nodes,slurm_job_name,slurm_job_id,slurm_array_job_id,slurm_array_task_id,hostname,cuda_visible_devices,command,wer,cer
18147807_3_exp_20260509_222054_config_3_a3,FAILED,2026-05-09T18:06:24-05:00,2026-05-09T18:06:24-05:00,2026-05-09T18:06:24-05:00,0,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_3.yaml,,,conf/exp_20260509_222054/config_3.yaml,conf/exp_20260509_222054/generated/runtime_18147807_3.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147811,18147807,3,cn044,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_3.yaml ,,
18147807_1_exp_20260509_222054_config_1_a1,FAILED,2026-05-09T18:06:31-05:00,2026-05-09T18:06:31-05:00,2026-05-09T18:06:32-05:00,1,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_1.yaml,,,conf/exp_20260509_222054/config_1.yaml,conf/exp_20260509_222054/generated/runtime_18147807_1.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147809,18147807,1,cn043,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_1.yaml ,,
18147807_0_exp_20260509_222054_config_0_a0,FAILED,2026-05-09T18:06:31-05:00,2026-05-09T18:06:31-05:00,2026-05-09T18:06:32-05:00,1,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_0.yaml,,,conf/exp_20260509_222054/config_0.yaml,conf/exp_20260509_222054/generated/runtime_18147807_0.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147808,18147807,0,cn043,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_0.yaml ,,
18147807_2_exp_20260509_222054_config_2_a2,FAILED,2026-05-09T18:06:31-05:00,2026-05-09T18:06:31-05:00,2026-05-09T18:06:32-05:00,1,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_2.yaml,,,conf/exp_20260509_222054/config_2.yaml,conf/exp_20260509_222054/generated/runtime_18147807_2.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147810,18147807,2,cn043,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_2.yaml ,,
18147807_5_exp_20260509_222054_config_5_a5,FAILED,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,0,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_5.yaml,,,conf/exp_20260509_222054/config_5.yaml,conf/exp_20260509_222054/generated/runtime_18147807_5.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147813,18147807,5,cn010,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_5.yaml ,,
18147807_7_exp_20260509_222054_config_7_a7,FAILED,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,0,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_7.yaml,,,conf/exp_20260509_222054/config_7.yaml,conf/exp_20260509_222054/generated/runtime_18147807_7.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147807,18147807,7,cn010,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_7.yaml ,,
18147807_6_exp_20260509_222054_config_6_a6,FAILED,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,2026-05-09T18:06:32-05:00,0,1,exp_20260509_222054,,train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_18147807_6.yaml,,,conf/exp_20260509_222054/config_6.yaml,conf/exp_20260509_222054/generated/runtime_18147807_6.yaml,,,,,,,,,,,,,,,,,,,,exp_20260509_222054,18147814,18147807,6,cn010,,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_18147807_6.yaml ,,
18148007_0_exp_20260509_222054_config_0_a0,FAILED,2026-05-09T18:48:03-05:00,2026-05-09T18:48:03-05:00,2026-05-09T18:48:17-05:00,14,1,exp_20260509_222054,wave1-lora-sweep [debug-gate],train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_na_0.yaml,,,conf/exp_20260509_222054/config_0.yaml,conf/exp_20260509_222054/generated/runtime_na_0.yaml,exp_20260509_222054_config_0_a0,./exp/exp_20260509_222054/exp_20260509_222054_config_0_a0,,0.0001,,"""""","{""name"":""adamw""}",{},"{""fast_dev_run"":10,""max_epochs"":3,""max_steps"":100}",{},3,100,,,,10,,1,1,exp_20260509_222054_debug,18148007,,0,gpub001,0,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_na_0.yaml ,,
18148013_0_exp_20260509_222054_config_0_a0,RUNNING,2026-05-09T18:49:11-05:00,2026-05-09T18:49:11-05:00,,,,exp_20260509_222054,wave1-lora-sweep [debug-gate],train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_na_0.yaml,,,conf/exp_20260509_222054/config_0.yaml,conf/exp_20260509_222054/generated/runtime_na_0.yaml,exp_20260509_222054_config_0_a0,./exp/exp_20260509_222054/exp_20260509_222054_config_0_a0,,0.0001,,"""""","{""name"":""adamw""}",{},"{""fast_dev_run"":10,""max_epochs"":3,""max_steps"":100}",{},3,100,,,,10,,1,1,exp_20260509_222054_debug,18148013,,0,gpub001,0,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_na_0.yaml ,,
18148019_0_exp_20260509_222054_config_0_a0,FAILED,2026-05-09T18:50:25-05:00,2026-05-09T18:50:25-05:00,2026-05-09T18:51:05-05:00,40,1,exp_20260509_222054,wave1-lora-sweep [debug-gate],train,.autoresearch/array_conf.txt,conf/exp_20260509_222054/generated/runtime_na_0.yaml,,,conf/exp_20260509_222054/config_0.yaml,conf/exp_20260509_222054/generated/runtime_na_0.yaml,exp_20260509_222054_config_0_a0,./exp/exp_20260509_222054/exp_20260509_222054_config_0_a0,,0.0001,,"""""","{""name"":""adamw""}",{},"{""fast_dev_run"":10,""max_epochs"":3,""max_steps"":100}",{},3,100,,,,10,,1,1,exp_20260509_222054_debug,18148019,,0,gpub051,0,python run.py --stages train --training_config conf/exp_20260509_222054/generated/runtime_na_0.yaml ,,
